"order","family","species","totalchrom","status","IslandEndemic","haploid"
"Accipitriformes","Accipitridae","pithecophaga_jefferyi",66,"CR","Yes",33
"Accipitriformes","Sagittariidae","sagittarius_serpentarius",80,"EN","No",40
"Accipitriformes","Accipitridae","haliaeetus_leucoryphus",66,"EN","No",33
"Accipitriformes","Accipitridae","terathopius_ecaudatus",66,"EN","No",33
"Accipitriformes","Accipitridae","accipiter_gentilis",78,"LC","No",39
"Accipitriformes","Pandionidae","pandion_haliaetus",74,"LC","No",37
"Accipitriformes","Accipitridae","circus_aeruginosus",72,"LC","No",36
"Accipitriformes","Accipitridae","circus_cyaneus",72,"LC","No",36
"Accipitriformes","Accipitridae","circus_pygargus",72,"LC","No",36
"Accipitriformes","Accipitridae","accipiter_novaehollandiae",68,"LC","No",34
"Accipitriformes","Accipitridae","buteo_buteo",68,"LC","No",34
"Accipitriformes","Accipitridae","buteo_jamaicensis",68,"LC","No",34
"Accipitriformes","Accipitridae","buteo_lagopus",68,"LC","No",34
"Accipitriformes","Accipitridae","buteo_nitidus",68,"LC","No",34
"Accipitriformes","Accipitridae","buteo_platypterus",68,"LC","No",34
"Accipitriformes","Accipitridae","buteo_regalis",68,"LC","No",34
"Accipitriformes","Accipitridae","buteo_swainsoni",68,"LC","No",34
"Accipitriformes","Accipitridae","elanus_caeruleus",68,"LC","No",34
"Accipitriformes","Accipitridae","geranoaetus_albicaudatus",68,"LC","No",34
"Accipitriformes","Accipitridae","geranoaetus_melanoleucus",68,"LC","No",34
"Accipitriformes","Accipitridae","parabuteo_unicinctus",68,"LC","No",34
"Accipitriformes","Accipitridae","rupornis_magnirostris",68,"LC","No",34
"Accipitriformes","Accipitridae","spizaetus_tyrannus",68,"LC","No",34
"Accipitriformes","Accipitridae","accipiter_badius",66,"LC","No",33
"Accipitriformes","Accipitridae","accipiter_nisus",66,"LC","No",33
"Accipitriformes","Accipitridae","accipiter_virgatus",66,"LC","No",33
"Accipitriformes","Accipitridae","aquila_audax",66,"LC","No",33
"Accipitriformes","Accipitridae","butastur_teesa",66,"LC","No",33
"Accipitriformes","Accipitridae","buteogallus_meridionalis",66,"LC","No",33
"Accipitriformes","Accipitridae","circaetus_gallicus",66,"LC","No",33
"Accipitriformes","Accipitridae","geranospiza_caerulescens",66,"LC","No",33
"Accipitriformes","Accipitridae","haliaeetus_albicilla",66,"LC","No",33
"Accipitriformes","Accipitridae","haliaeetus_leucocephalus",66,"LC","No",33
"Accipitriformes","Accipitridae","haliastur_indus",66,"LC","No",33
"Accipitriformes","Accipitridae","icthyophaga_leucogaster",66,"LC","No",33
"Accipitriformes","Accipitridae","icthyophaga_vocifer",66,"LC","No",33
"Accipitriformes","Accipitridae","leptodon_cayanensis",66,"LC","No",33
"Accipitriformes","Accipitridae","lophaetus_occipitalis",66,"LC","No",33
"Accipitriformes","Accipitridae","pernis_apivorus",66,"LC","No",33
"Accipitriformes","Accipitridae","pseudastur_albicollis",66,"LC","No",33
"Accipitriformes","Accipitridae","aquila_chrysaetos",62,"LC","No",31
"Accipitriformes","Accipitridae","nisaetus_nipalensis",68,"NT","No",34
"Accipitriformes","Accipitridae","stephanoaetus_coronatus",66,"NT","No",33
"Accipitriformes","Accipitridae","morphnus_guianensis",54,"NT","No",27
"Accipitriformes","Accipitridae","aquila_adalberti",82,"VU","No",41
"Accipitriformes","Accipitridae","aquila_heliaca",68,"VU","No",34
"Accipitriformes","Accipitridae","aquila_rapax",68,"VU","No",34
"Accipitriformes","Accipitridae","haliaeetus_pelagicus",66,"VU","No",33
"Accipitriformes","Accipitridae","harpia_harpyja",58,"VU","No",29
"Accipitriformes","Accipitridae","neophron_percnopterus",66,"EN","No",33
"Accipitriformes","Cathartidae","coragyps_atratus",80,"LC","No",40
"Accipitriformes","Accipitridae","milvus_migrans",66,"LC","No",33
"Accipitriformes","Cathartidae","gymnogyps_californianus",80,"CR","No",40
"Accipitriformes","Accipitridae","gyps_bengalensis",66,"CR","No",33
"Accipitriformes","Accipitridae","gyps_rueppelli",66,"CR","No",33
"Accipitriformes","Accipitridae","necrosyrtes_monachus",66,"CR","No",33
"Accipitriformes","Accipitridae","sarcogyps_calvus",66,"CR","No",33
"Accipitriformes","Accipitridae","torgos_tracheliotos",66,"EN","No",33
"Accipitriformes","Cathartidae","cathartes_aura",80,"LC","No",40
"Accipitriformes","Cathartidae","cathartes_burrovianus",80,"LC","No",40
"Accipitriformes","Cathartidae","sarcoramphus_papa",80,"LC","No",40
"Accipitriformes","Accipitridae","gyps_fulvus",66,"LC","No",33
"Accipitriformes","Accipitridae","aegypius_monachus",66,"NT","No",33
"Accipitriformes","Accipitridae","gyps_himalayensis",66,"NT","No",33
"Accipitriformes","Accipitridae","gypaetus_barbatus",60,"NT","No",30
"Accipitriformes","Cathartidae","vultur_gryphus",80,"VU","No",40
"Accipitriformes","Accipitridae","gyps_coprotheres",66,"VU","No",33
